Datetime,Username,Text
2022-12-17 23:52:09+00:00,harrisregar_2,"@panca66 Ngeri, sedari awal KPU bukan wasit yg baik. Pantesan mereka buru² golkan RKUHP, agar Presiden yg lahir dari kecurangan ke.2 bisa aman."
2022-12-17 23:45:22+00:00,Akagami_N_S,@ArrazHarun @Askrlfess Rkuhp membuat nyaliku berkurang
2022-12-17 22:58:19+00:00,Irfqn_,"Pasal-pasal dalam RKUHP Lebih Berbahaya dari Sebelumnya
https://t.co/pOIK3SGw9k

#SyariahMewujudkanPersatuan"
2022-12-17 22:32:54+00:00,KangJar72175240,"@AhmadHi18173118 @abu_waras UU omnibuslaw aja di sahkan, apa lagi RKUHP"
2022-12-17 22:24:07+00:00,atjayapura,Keengganan pemerintah buka draf terbaru RKUHP dinilai tunjukkan ... - BBC https://t.co/BSnDLXn3eP
2022-12-17 22:03:28+00:00,miiuriu,"https://t.co/RGClZG2lAh
nah ini lu yg bener aja, udah fitnah jatohnya kena pasal  rkuhp baru penghinaan terhadap presiden ditambah tindak pidana terorisme yang jelas2 mendukung gerakan terorisme orochi m. top 🤣🤣🤣"
2022-12-17 17:04:39+00:00,zaqighifari24,"MALING – BINTANG EMON VS MAMAT ALKATIRI, RESIKO KRITIK PEMERINTAH, RKUHP... https://t.co/4fEETbxj7T via @YouTube"
2022-12-17 16:44:51+00:00,gatholoccoo,@txtdrjkt RKUHP
2022-12-17 16:37:59+00:00,KMJlovelly,"@hyeinkari harusnya sih dia sadar ya ta, tpi ntah lh. mungkin dia blm baca RKUHP yg baru tentang mengganggu tetangga 😔🖐🏻"
2022-12-17 16:35:15+00:00,doktaviantoo,"Salut dengan pasangan yang ;

-Connect Zenly
-Dilarang nongkrong jika ada lawan jenis
-Saling tukar password ig
-Harus Vidcall kapanpun dimanapun

Tidak perlu RKUHP pun pasti sudah “TERPENJARA” jiwa dan raga...🤭"
